;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Unkn;;;18,6066739762311;18,6066739762311;0;NaN;NaN;NaN;0;72;
;A02;SYBR;;Unkn;;;19,8321209532925;19,8321209532925;0;NaN;NaN;NaN;0;72;
;A03;SYBR;;Unkn;;;22,4668127352859;22,4668127352859;0;NaN;NaN;NaN;0;72;
;A04;SYBR;;Unkn;;;29,9959117196966;29,9959117196966;0;NaN;NaN;NaN;0;72;
;A05;SYBR;;Unkn;;;20,3783067301239;20,3783067301239;0;NaN;NaN;NaN;0;72;
;A06;SYBR;;Unkn;;;20,4246998602667;20,4246998602667;0;NaN;NaN;NaN;0;72;
;A07;SYBR;;Unkn;;;22,819756979314;22,819756979314;0;NaN;NaN;NaN;0;72;
;A08;SYBR;;Unkn;;;19,46974066147;19,46974066147;0;NaN;NaN;NaN;0;72;
;A09;SYBR;;Unkn;;;21,5055466464873;21,5055466464873;0;NaN;NaN;NaN;0;72;
;A10;SYBR;;Unkn;;;21,0386949052123;21,0386949052123;0;NaN;NaN;NaN;0;72;
;A11;SYBR;;Unkn;;;29,5416993410598;29,5416993410598;0;NaN;NaN;NaN;0;72;
;A12;SYBR;;Unkn;;;20,6174950841573;20,6174950841573;0;NaN;NaN;NaN;0;72;
;B01;SYBR;;Unkn;;;18,2083113404973;18,2083113404973;0;NaN;NaN;NaN;0;72;
;B02;SYBR;;Unkn;;;19,6880703191688;19,6880703191688;0;NaN;NaN;NaN;0;72;
;B03;SYBR;;Unkn;;;22,2058123492597;22,2058123492597;0;NaN;NaN;NaN;0;72;
;B04;SYBR;;Unkn;;;29,4535737839495;29,4535737839495;0;NaN;NaN;NaN;0;72;
;B05;SYBR;;Unkn;;;20,05834030357;20,05834030357;0;NaN;NaN;NaN;0;72;
;B06;SYBR;;Unkn;;;20,5016839633884;20,5016839633884;0;NaN;NaN;NaN;0;72;
;B07;SYBR;;Unkn;;;21,8740118829531;21,8740118829531;0;NaN;NaN;NaN;0;72;
;B08;SYBR;;Unkn;;;19,1767645364139;19,1767645364139;0;NaN;NaN;NaN;0;72;
;B09;SYBR;;Unkn;;;21,0302636661069;21,0302636661069;0;NaN;NaN;NaN;0;72;
;B10;SYBR;;Unkn;;;21,1628797606572;21,1628797606572;0;NaN;NaN;NaN;0;72;
;B11;SYBR;;Unkn;;;28,3466396879407;28,3466396879407;0;NaN;NaN;NaN;0;72;
;B12;SYBR;;Unkn;;;20,003540185071;20,003540185071;0;NaN;NaN;NaN;0;72;
;C01;SYBR;;Unkn;;;22,2539522172845;22,2539522172845;0;NaN;NaN;NaN;0;72;
;C02;SYBR;;Unkn;;;22,2943354032702;22,2943354032702;0;NaN;NaN;NaN;0;72;
;C03;SYBR;;Unkn;;;22,801325397607;22,801325397607;0;NaN;NaN;NaN;0;72;
;C04;SYBR;;Unkn;;;22,2981996768939;22,2981996768939;0;NaN;NaN;NaN;0;72;
;C05;SYBR;;Unkn;;;21,5707704300948;21,5707704300948;0;NaN;NaN;NaN;0;72;
;C06;SYBR;;Unkn;;;23,2969873483774;23,2969873483774;0;NaN;NaN;NaN;0;72;
;C07;SYBR;;Unkn;;;22,8964339830954;22,8964339830954;0;NaN;NaN;NaN;0;72;
;C08;SYBR;;Unkn;;;22,4167576338999;22,4167576338999;0;NaN;NaN;NaN;0;72;
;C09;SYBR;;Unkn;;;22,0760574253548;22,0760574253548;0;NaN;NaN;NaN;0;72;
;C10;SYBR;;Unkn;;;21,9004064918624;21,9004064918624;0;NaN;NaN;NaN;0;72;
;C11;SYBR;;Unkn;;;22,3074797403485;22,3074797403485;0;NaN;NaN;NaN;0;72;
;C12;SYBR;;Unkn;;;22,3738956483836;22,3738956483836;0;NaN;NaN;NaN;0;72;
;D01;SYBR;;Unkn;;;22,5838489685326;22,5838489685326;0;NaN;NaN;NaN;0;72;
;D02;SYBR;;Unkn;;;22,1542576668223;22,1542576668223;0;NaN;NaN;NaN;0;72;
;D03;SYBR;;Unkn;;;22,8813406620347;22,8813406620347;0;NaN;NaN;NaN;0;72;
;D04;SYBR;;Unkn;;;22,2027812159834;22,2027812159834;0;NaN;NaN;NaN;0;72;
;D05;SYBR;;Unkn;;;21,6371235606392;21,6371235606392;0;NaN;NaN;NaN;0;72;
;D06;SYBR;;Unkn;;;23,2962536121357;23,2962536121357;0;NaN;NaN;NaN;0;72;
;D07;SYBR;;Unkn;;;22,4974178982849;22,4974178982849;0;NaN;NaN;NaN;0;72;
;D08;SYBR;;Unkn;;;3,58642731772666;3,58642731772666;0;NaN;NaN;NaN;0;72;
;D09;SYBR;;Unkn;;;22,1764819853682;22,1764819853682;0;NaN;NaN;NaN;0;72;
;D10;SYBR;;Unkn;;;22,0649087509362;22,0649087509362;0;NaN;NaN;NaN;0;72;
;D11;SYBR;;Unkn;;;22,9516901998026;22,9516901998026;0;NaN;NaN;NaN;0;72;
;D12;SYBR;;Unkn;;;22,7129750587009;22,7129750587009;0;NaN;NaN;NaN;0;72;
;E01;SYBR;;Unkn;;;18,2129029490833;18,2129029490833;0;NaN;NaN;NaN;0;72;
;E02;SYBR;;Unkn;;;19,9137399643298;19,9137399643298;0;NaN;NaN;NaN;0;72;
;E03;SYBR;;Unkn;;;19,9142932071838;19,9142932071838;0;NaN;NaN;NaN;0;72;
;E04;SYBR;;Unkn;;;21,501527523185;21,501527523185;0;NaN;NaN;NaN;0;72;
;E05;SYBR;;Unkn;;;20,7448024988056;20,7448024988056;0;NaN;NaN;NaN;0;72;
;E06;SYBR;;Unkn;;;23,0482276203956;23,0482276203956;0;NaN;NaN;NaN;0;72;
;E07;SYBR;;Unkn;;;19,5874390402489;19,5874390402489;0;NaN;NaN;NaN;0;72;
;E08;SYBR;;Unkn;;;29,5053381517102;29,5053381517102;0;NaN;NaN;NaN;0;72;
;E09;SYBR;;Unkn;;;20,1881957709572;20,1881957709572;0;NaN;NaN;NaN;0;72;
;E10;SYBR;;Unkn;;;18,9730081657254;18,9730081657254;0;NaN;NaN;NaN;0;72;
;E11;SYBR;;Unkn;;;21,1122450535401;21,1122450535401;0;NaN;NaN;NaN;0;72;
;E12;SYBR;;Unkn;;;17,6932334580743;17,6932334580743;0;NaN;NaN;NaN;0;72;
;F01;SYBR;;Unkn;;;18,3308236209864;18,3308236209864;0;NaN;NaN;NaN;0;72;
;F02;SYBR;;Unkn;;;19,7129455212052;19,7129455212052;0;NaN;NaN;NaN;0;72;
;F03;SYBR;;Unkn;;;19,9605861098737;19,9605861098737;0;NaN;NaN;NaN;0;72;
;F04;SYBR;;Unkn;;;20,9702736805699;20,9702736805699;0;NaN;NaN;NaN;0;72;
;F05;SYBR;;Unkn;;;20,7734679354936;20,7734679354936;0;NaN;NaN;NaN;0;72;
;F06;SYBR;;Unkn;;;23,0017036436346;23,0017036436346;0;NaN;NaN;NaN;0;72;
;F07;SYBR;;Unkn;;;19,6106463762742;19,6106463762742;0;NaN;NaN;NaN;0;72;
;F08;SYBR;;Unkn;;;29,5497109396324;29,5497109396324;0;NaN;NaN;NaN;0;72;
;F09;SYBR;;Unkn;;;20,087815037774;20,087815037774;0;NaN;NaN;NaN;0;72;
;F10;SYBR;;Unkn;;;18,4217064656203;18,4217064656203;0;NaN;NaN;NaN;0;72;
;F11;SYBR;;Unkn;;;21,2795253514083;21,2795253514083;0;NaN;NaN;NaN;0;72;
;F12;SYBR;;Unkn;;;17,8706890609942;17,8706890609942;0;NaN;NaN;NaN;0;72;
;G01;SYBR;;Unkn;;;23,4112674670472;23,4112674670472;0;NaN;NaN;NaN;0;72;
;G02;SYBR;;Unkn;;;22,2111906241279;22,2111906241279;0;NaN;NaN;NaN;0;72;
;G03;SYBR;;Unkn;;;22,4864341569331;22,4864341569331;0;NaN;NaN;NaN;0;72;
;G04;SYBR;;Unkn;;;22,2052448405723;22,2052448405723;0;NaN;NaN;NaN;0;72;
;G05;SYBR;;Unkn;;;22,7175301187848;22,7175301187848;0;NaN;NaN;NaN;0;72;
;G06;SYBR;;Unkn;;;21,5958523508412;21,5958523508412;0;NaN;NaN;NaN;0;72;
;G07;SYBR;;Unkn;;;22,3084400111561;22,3084400111561;0;NaN;NaN;NaN;0;72;
;G08;SYBR;;Unkn;;;22,396112898381;22,396112898381;0;NaN;NaN;NaN;0;72;
;G09;SYBR;;Unkn;;;22,4320845632885;22,4320845632885;0;NaN;NaN;NaN;0;72;
;G10;SYBR;;Unkn;;;22,0860534249688;22,0860534249688;0;NaN;NaN;NaN;0;72;
;G11;SYBR;;Unkn;;;22,2212522246441;22,2212522246441;0;NaN;NaN;NaN;0;72;
;G12;SYBR;;Unkn;;;23,2343443798059;23,2343443798059;0;NaN;NaN;NaN;0;72;
;H01;SYBR;;Unkn;;;23,5239014475901;23,5239014475901;0;NaN;NaN;NaN;0;72;
;H02;SYBR;;Unkn;;;22,275840386912;22,275840386912;0;NaN;NaN;NaN;0;72;
;H03;SYBR;;Unkn;;;22,8458945661254;22,8458945661254;0;NaN;NaN;NaN;0;72;
;H04;SYBR;;Unkn;;;22,5148450715589;22,5148450715589;0;NaN;NaN;NaN;0;72;
;H05;SYBR;;Unkn;;;22,7556777511342;22,7556777511342;0;NaN;NaN;NaN;0;72;
;H06;SYBR;;Unkn;;;21,6843182408803;21,6843182408803;0;NaN;NaN;NaN;0;72;
;H07;SYBR;;Unkn;;;22,5239677210905;22,5239677210905;0;NaN;NaN;NaN;0;72;
;H08;SYBR;;Unkn;;;22,4178969235788;22,4178969235788;0;NaN;NaN;NaN;0;72;
;H09;SYBR;;Unkn;;;22,4249206491065;22,4249206491065;0;NaN;NaN;NaN;0;72;
;H10;SYBR;;Unkn;;;22,4069873903111;22,4069873903111;0;NaN;NaN;NaN;0;72;
;H11;SYBR;;Unkn;;;22,4147988049213;22,4147988049213;0;NaN;NaN;NaN;0;72;
;H12;SYBR;;Unkn;;;23,3391894395974;23,3391894395974;0;NaN;NaN;NaN;0;72;
