;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;;Unkn;;;19,5568997974152;19,5568997974152;0;NaN;NaN;NaN;0;72;
;A02;SYBR;;Unkn;;;20,8117596997419;20,8117596997419;0;NaN;NaN;NaN;0;72;
;A03;SYBR;;Unkn;;;19,225853558971;19,225853558971;0;NaN;NaN;NaN;0;72;
;A04;SYBR;;Unkn;;;20,1147290542384;20,1147290542384;0;NaN;NaN;NaN;0;72;
;A05;SYBR;;Unkn;;;18,6579126713701;18,6579126713701;0;NaN;NaN;NaN;0;72;
;A06;SYBR;;Unkn;;;18,0074885243883;18,0074885243883;0;NaN;NaN;NaN;0;72;
;A07;SYBR;;Unkn;;;20,0113335009041;20,0113335009041;0;NaN;NaN;NaN;0;72;
;A08;SYBR;;Unkn;;;22,3510695980852;22,3510695980852;0;NaN;NaN;NaN;0;72;
;A09;SYBR;;Unkn;;;19,8592850033155;19,8592850033155;0;NaN;NaN;NaN;0;72;
;A10;SYBR;;Unkn;;;18,2101255883933;18,2101255883933;0;NaN;NaN;NaN;0;72;
;A11;SYBR;;Unkn;;;17,37023943812;17,37023943812;0;NaN;NaN;NaN;0;72;
;A12;SYBR;;Unkn;;;20,9837163843525;20,9837163843525;0;NaN;NaN;NaN;0;72;
;B01;SYBR;;Unkn;;;18,8369657026033;18,8369657026033;0;NaN;NaN;NaN;0;72;
;B02;SYBR;;Unkn;;;21,9242782827294;21,9242782827294;0;NaN;NaN;NaN;0;72;
;B03;SYBR;;Unkn;;;18,8105482506714;18,8105482506714;0;NaN;NaN;NaN;0;72;
;B04;SYBR;;Unkn;;;20,0574342128296;20,0574342128296;0;NaN;NaN;NaN;0;72;
;B05;SYBR;;Unkn;;;18,6575488948722;18,6575488948722;0;NaN;NaN;NaN;0;72;
;B06;SYBR;;Unkn;;;17,8348162537606;17,8348162537606;0;NaN;NaN;NaN;0;72;
;B07;SYBR;;Unkn;;;19,849412290665;19,849412290665;0;NaN;NaN;NaN;0;72;
;B08;SYBR;;Unkn;;;22,0595412273163;22,0595412273163;0;NaN;NaN;NaN;0;72;
;B09;SYBR;;Unkn;;;19,7570444642559;19,7570444642559;0;NaN;NaN;NaN;0;72;
;B10;SYBR;;Unkn;;;18,2949332285522;18,2949332285522;0;NaN;NaN;NaN;0;72;
;B11;SYBR;;Unkn;;;17,9164411285503;17,9164411285503;0;NaN;NaN;NaN;0;72;
;B12;SYBR;;Unkn;;;20,6845437080777;20,6845437080777;0;NaN;NaN;NaN;0;72;
;C01;SYBR;;Unkn;;;22,8561928905345;22,8561928905345;0;NaN;NaN;NaN;0;72;
;C02;SYBR;;Unkn;;;22,0298876755488;22,0298876755488;0;NaN;NaN;NaN;0;72;
;C03;SYBR;;Unkn;;;22,0817176609837;22,0817176609837;0;NaN;NaN;NaN;0;72;
;C04;SYBR;;Unkn;;;22,9780471884245;22,9780471884245;0;NaN;NaN;NaN;0;72;
;C05;SYBR;;Unkn;;;24,3430828675566;24,3430828675566;0;NaN;NaN;NaN;0;72;
;C06;SYBR;;Unkn;;;22,5767884485306;22,5767884485306;0;NaN;NaN;NaN;0;72;
;C07;SYBR;;Unkn;;;23,2427846428047;23,2427846428047;0;NaN;NaN;NaN;0;72;
