;Cycle;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E1;E2;E3;E4;E5;E6;F1;F2;F3;F4;F5;F6;G1;G2;G3;G4;G5;G6;H1;H2;H3;H4;H5;H6
;30;333,605004789196;453,089505761258;414,776593506162;49,0744802362933;-3,12072741893189;1,79975659819547;9,08913774713847;47,3303709075976;29,5974946768201;170,520969408096;345,814253431753;3,84563317947868;398,956512915097;515,736558812943;432,163729822286;29,8544660243306;5,89593098227306;-1,38734773372835;9,37349959297899;60,5467831643232;20,4624285251389;237,265191827345;307,479886660273;9,46262761409434;420,209430947728;377,521439927071;399,094353365045;441,571900866053;465,340575794505;310,492940780172;590,761537193108;518,916143596487;509,247666341818;389,249810554213;328,695252964795;445,254750474088;323,707539343105;361,893080361967;203,447687481616;497,257387375173;474,340851118588;482,961117061561;445,273984947339;485,975949603336;476,226991781796;467,74549377408;340,184816688618;466,014345484649;164,767427548496;44,3454360340347;196,040738893203;60,1713606659532;0,906822565157199;20,6770540368352;11,6120016368691;84,6049878282984;161,080418389891;51,6923664152255;-3,06046040115007;17,9162257255771;301,587747791294;527,927372311411;531,179794629187;508,23072738237;406,204853936374;422,846249622348;364,174989071926;440,14563501871;448,475697342443;320,623285374772;462,869775524645;424,348887986313
;31;343,447342845479;464,902916303363;427,817367357866;86,3420050093778;-4,01066205602865;9,53805231160413;17,9829980767381;82,8393283112573;61,947485530864;250,322354404139;385,718045390753;11,9669199178811;412,575719718278;526,025053716108;445,182763437194;58,9389004098384;20,2003135353516;-2,19533259153832;18,5972026774307;117,780979772732;47,4165302468841;324,753102017562;352,386035530336;24,1835634526974;444,534995803719;400,542689315351;425,879110380515;464,888607681157;483,469092852542;327,910209109384;621,940100981846;544,750748774431;535,385688444862;410,922078828372;350,098931763645;465,393603694123;340,751220694535;384,157398505526;220,207703993941;523,935337111573;495,418109966282;514,442939688895;470,42929673291;511,063147366889;500,091107122705;493,200452875414;364,832715943526;486,241707784979;233,488502805351;87,2285963894196;269,013390748976;111,995402961069;7,62464846995408;49,7699309211644;36,6574404208627;146,532822862284;207,895529508089;95,1100976095704;-3,50871866553143;47,4292420059192;322,964371274384;553,415075679946;553,4533853657;531,386738789191;432,921693527151;449,771103833837;384,907823957705;464,778861594144;469,271853010012;337,857871768342;492,731914936755;447,128179338135
;32;351,091264455468;474,049594947407;438,042725328246;157,401319634089;-1,80160511541953;24,5913845718642;35,598539447134;158,94438705001;125,277416022512;322,163044887442;416,373827646597;35,2086915803843;425,130983761631;536,112219859725;454,996307324709;118,106300888218;38,234733668327;-5,51338899224629;42,9523736569627;191,401221511201;94,2324438395995;390,421445883904;383,04365882044;46,6928954632413;466,456428338881;422,670702216477;451,166306279509;485,013153128503;501,0065347536;341,13701390311;649,208350903349;568,85582804682;558,909632738816;429,778608848923;372,553242846538;483,960713623492;353,64360025345;401,675109335027;236,902159703522;545,11781401644;515,527626789455;538,546439289213;491,263012777064;533,194779790212;518,967632551527;513,794976514593;385,346947047878;504,853452612432;285,574631579099;162,082443527927;329,795225927441;200,208415579589;6,63087004530234;91,4861104762476;69,2158443339995;205,150695630752;245,506589143553;157,333500213923;-4,45737178431045;76,9283457607648;341,59537404;576,866459110366;575,258344034058;550,299233625453;455,706605651956;473,612995753229;399,518920803877;484,507778507742;487,116504305922;354,77307769668;518,99419058054;468,777963718398
;33;359,742585710667;483,19156118082;446,074293652661;224,292113867863;0,843730354587478;47,2015667254068;74,8530963097496;237,033630691533;201,372389776574;369,573948668459;439,900870095143;59,5687986823918;431,166221453763;541,457075938691;462,6336924819;189,066272376775;80,9539752809001;-5,50582017154238;82,9043266415479;269,387024209165;172,765520867589;430,836712411222;410,898454014667;89,5403415230962;483,849884244675;443,292531181568;470,712811047611;498,77537548387;514,151766200559;352,857228518506;670,043997815695;586,388231966448;575,028998706601;444,88690370273;390,847632820089;494,882587290639;366,16394311784;416,740822915332;249,756488239041;562,91117394408;529,366631279508;559,571922262456;506,491397623297;550,225065207827;535,589188244633;530,190011044816;400,733506645751;518,446967607904;316,5936036301;240,754737661714;376,424635749012;285,010638711312;7,84564463835704;144,264880960478;125,242457171108;251,687491260324;278,975439833773;207,546446290687;-2,05431102830198;150,375747792096;356,837259828391;595,645731144855;592,255506379676;568,301258228292;475,014489966716;492,515550094492;413,065744083423;500,080674238038;499,597213576095;368,150319470599;541,280979117293;486,180403647256
;34;368,429200644263;490,136215280683;452,687558883881;282,902646937645;0,0327692198011391;84,798427437252;141,863654487554;310,192977857645;283,519171605933;404,527473615511;465,932853644314;114,680131779937;438,507002270382;547,39803555976;469,51405557404;265,565527215732;154,268057496886;-1,69044270892255;155,687318108414;333,56223220016;252,734656424673;464,469731506139;439,160915716011;158,484792792007;500,069918576366;462,084365661375;487,383009783364;510,681289137703;526,518369253052;362,966404538445;686,82493802145;601,411751547139;589,033862004434;458,406193603448;407,552609683375;505,590114978213;378,894996827379;430,374820313831;262,164539120371;577,01356097181;544,734628376592;575,514075093314;523,879439777002;565,193407553414;550,354519390408;544,290812532658;414,417224725306;529,737639650516;336,512928004508;315,482107268929;418,259529992503;359,023656033919;15,5616078640187;187,663832932859;186,107253707499;287,999918252361;310,649130496697;243,10819842002;-0,0456158874781067;231,691406759736;370,358577295986;612,095514598347;606,910510116374;584,582422948626;492,256519117302;510,415389686767;424,546299170175;513,009312771407;513,488290578415;380,104940609258;561,229579855851;499,252597505413
;35;371,983399813629;496,208858472149;459,326366121259;323,069522976098;14,6038476229401;165,909037934327;211,111957727732;360,108912040769;350,685589685233;434,431771899849;488,631811797031;172,742733908257;444,108860681318;550,649931330589;475,767779471619;327,588005699018;237,290030607963;1,35031194400062;235,222300277422;374,975665973353;319,159747100425;496,797445159531;464,957687439542;216,797151942804;514,052239172499;476,50555596823;502,344988994517;521,299196123313;536,734350001669;370,105993522932;701,727172457759;615,182595552719;602,083498687977;469,657055361391;420,855094325715;516,450321064852;389,931092839709;444,682729515487;271,345218574661;589,626681639891;555,408111649047;591,823572502676;538,127155721091;577,310273651374;565,119385294632;559,135707710437;428,078554541231;538,864683100209;356,247464058745;374,861304785876;458,671076482494;417,149410070474;36,7430407243187;219,787033598734;242,606164743375;316,587548028173;340,15070017426;266,986893911627;5,86373652948669;310,966423080615;383,030330575552;624,381003533926;618,841587287563;597,60554197372;507,325996311165;524,540615877479;434,704005472494;522,53537317667;525,08436662518;390,596155865111;579,045671926947;510,419461938593
;36;376,956278328509;502,934170536103;465,706965755404;353,471471701126;18,9295765736001;250,588243254929;276,060267514964;395,425554341581;393,579599327654;463,416581371796;510,485867222872;224,740869795906;450,026288107658;558,850183258515;481,101933308348;370,917082442574;314,715691100087;3,98474305263062;307,063784599463;404,601248296784;365,017196580387;524,79453469087;487,133377834924;259,770370742115;525,083371986315;486,499598983543;515,59945058782;533,156467105055;545,360948392063;379,694004824413;716,918326414866;626,776955834138;614,423592577616;480,907592125497;432,042681575941;526,290209001274;398,759749464935;453,000352319691;279,829354988514;602,857128100722;567,009777319023;606,381190635483;551,726915203325;587,991154482018;576,556314311383;572,286003775372;440,938530804394;549,130261208207;376,398317217752;419,772670427442;492,286270611639;462,953185286705;65,9112783691789;241,392296231624;287,584044269392;344,754473282418;364,734544363831;289,012880788853;8,3704034765442;369,388859859407;396,33273439517;636,136346273443;629,721309397133;608,73232196186;519,133104124102;538,494814061644;443,377383674295;532,389921102344;535,331961995153;400,934299023894;592,609544639088;517,671613112197
;37;381,32044338731;508,822785967557;470,375660354904;378,649225750185;35,458417848823;328,116690435798;323,619700822849;422,3783990073;421,047370270362;485,097154364644;524,04632368234;260,230456259281;455,904066285924;564,155715083245;484,982145968287;403,325553789515;369,336371576344;7,56344375369736;356,612397943764;429,550331807491;395,934191897995;546,472850304346;503,405880181081;282,377282027452;535,032925311702;497,487635648303;526,93994222853;541,729350373436;552,410676686947;386,299466438337;729,403581687881;639,391634265775;625,112717776984;490,047537665826;441,824589234123;535,109778787478;405,035904496975;461,825859242146;287,801301115779;613,876072751491;575,165370841896;620,273546384631;559,901471321612;597,069328207137;587,279394365894;582,892085589957;452,256980051784;557,223986754217;392,642825708476;459,551977145736;519,189042038255;506,326575343877;119,912376322252;259,796775815637;320,958018857201;369,168857201583;385,627108556534;311,41122935444;14,3467858723207;412,069488923082;405,650226286492;645,917270206745;640,750203677733;619,123640897622;529,004629894307;549,432256956945;449,515241210876;537,848277399419;541,822303619415;408,579543252051;601,973928242272;525,098773466846
;38;386,411418401157;515,556407024855;474,290473382988;402,092764624516;75,502106927655;387,883928025677;359,767575850874;448,801122463558;446,066738603099;505,569009696428;537,199413348462;288,578262622818;462,69234501306;571,21232251909;491,406108089562;434,332193484644;404,961113389267;19,1691672266115;392,21393371497;454,612945089751;425,900689919275;564,065108461192;519,677995788764;300,33366030846;546,497293565615;507,389402591763;538,709360206767;551,742539439885;558,273704498794;393,645055923739;741,345273429026;647,981752545473;631,716102277412;499,962205664548;450,112843809748;537,658434134942;412,362314968321;468,846863948116;297,344643373746;624,824823976922;583,981525322843;629,931077238402;568,793446995078;606,375086810632;595,860938555176;590,007743538972;461,219248471443;562,965821444771;410,805238170803;495,37669883602;541,620644140691;542,70221078288;190,08424377815;278,835526311557;352,807814546664;392,264940022354;405,823081333732;332,60486656112;27,5731307764736;446,552335256002;412,799480776419;654,348983535745;650,18020619781;630,451353325752;538,950354363626;560,863866641443;456,17384938818;546,305368012652;548,238073277517;415,690285086276;611,928911301775;532,074696972704
;39;390,740727870975;519,457278902792;477,075828699001;423,644724934796;133,432793564118;430,035414861497;390,162134681335;473,936926588469;473,757861560057;522,23574027409;547,734095940097;315,60354710711;467,978715657051;573,185205045715;498,325419364636;462,856257247278;432,310342303878;42,0585930459397;425,62635932336;478,099475086995;452,11071825197;585,966776088917;535,070252328307;322,086894033331;556,80986500656;518,670989939493;549,537661560889;558,266417816538;564,084475039843;397,640735780766;749,578309343085;656,22656384928;640,483376423648;506,431189358227;459,075685751068;542,913715265957;418,366856401367;477,672289622112;304,585028374673;632,529156487521;591,589747976309;640,771415867408;578,754494233525;614,476491559648;605,944755732963;596,606976341285;468,82049946349;567,749322267405;427,03682815652;527,983310330606;563,540122572768;577,107720911053;272,79310355402;299,380902794616;380,454097757048;413,986668756271;423,344078216389;352,428776449547;58,5329145671694;480,313102230046;419,235252318011;663,25396783077;660,096809072416;640,010688039646;548,283446594933;571,831940205849;461,931057893565;552,748780628666;556,667896870551;422,416040502042;621,604151509731;540,233093459854
;40;397,133136976619;521,904837941103;479,200367415416;442,876114816622;192,581502301684;465,290503906517;419,024559761789;498,464398512994;501,987804591188;536,030565899621;555,957328135978;342,830449557667;470,349292531476;572,644901414239;504,010462594767;487,378236394078;460,093161906729;71,3348838203497;459,64787170264;500,925185691736;474,782916499699;608,227878096666;551,229393570102;346,389006869263;562,030089364945;526,778502803651;559,197675599066;563,976741009135;570,714621780036;403,226574823678;757,30387872123;662,637108914505;649,001785972274;510,632266410944;468,975953823488;547,403306781109;423,723403516442;483,165852420983;310,897261296121;638,766949066774;599,351437984095;653,464455817478;587,712858576658;621,899382481912;615,788391443961;602,199612042743;472,910492556077;574,893407530625;443,036825940642;555,799410199236;584,986720340265;607,029928389449;359,495842665387;319,63308939735;405,464720004893;433,878402044327;438,028008528466;371,298626136818;90,3750812406779;509,651410020917;425,689102037606;672,631898097984;667,443282770776;645,660016904124;555,4051806572;581,836962123206;467,434741940426;558,951600371858;567,444974329558;429,98739866189;632,04621026867;548,054779238795
